2026-06-03 17:20:16 - Temp: 27.60C, Hum: 43.00%
2026-06-03 17:20:19 - Temp: 27.60C, Hum: 43.00%
2026-06-03 17:20:22 - Temp: 27.60C, Hum: 43.00%
2026-06-03 17:20:25 - Temp: 27.60C, Hum: 43.00%
2026-06-03 17:20:28 - Temp: 27.60C, Hum: 43.00%
2026-06-03 17:20:32 - Temp: 27.60C, Hum: 43.00%
2026-06-03 17:20:35 - Temp: 27.60C, Hum: 43.00%
2026-06-03 17:20:38 - Temp: 27.60C, Hum: 42.00%
2026-06-03 17:20:41 - Temp: 27.60C, Hum: 42.00%
2026-06-03 17:20:44 - Temp: 27.60C, Hum: 42.00%
2026-06-03 17:20:47 - Temp: 27.60C, Hum: 42.00%
2026-06-03 17:20:50 - Temp: 27.60C, Hum: 42.00%
2026-06-03 17:20:53 - Temp: 27.60C, Hum: 42.00%
2026-06-03 17:20:56 - Temp: 27.60C, Hum: 42.00%
2026-06-03 17:20:59 - Temp: 27.60C, Hum: 42.00%
2026-06-03 17:21:02 - Temp: 27.60C, Hum: 42.00%
